Rank,Name,Country
1,Novak Djokovic,Serbia & Montenegro
2,Andy Murray,Great Britain
3,Stan Wawrinka,Switzerland
4,Kei Nishikori,Japan
5,Rafael Nadal,Spain
6,Milos Raonic,Canada
7,Roger Federer,Switzerland
8,Gael Monfils,France
9,Tomas Berdych,Czech Republic
10,Dominic Thiem,Austria
11,Marin Cilic,Croatia
12,David Goffin,Belgium
13,Jo-Wilfried Tsonga,France
14,Nick Kyrgios,Australia
15,David Ferrer,Spain
16,Lucas Pouille,France
17,Richard Gasquet,France
18,Grigor Dimitrov,Bulgaria
19,Roberto Bautista Agut,Spain
20,Ivo Karlovic,Croatia
